0,1,2
13450,"[1151, 2893, 3024, 3314, 7812, 8013, 8517, 8820, 9793, 11044, 12202, 12206, 12515, 13165, 13291]","[84, 97, 122, 133, 201, 843, 1097, 1426, 2489, 2647, 2723, 3151, 3436, 5043, 5091, 6514, 7966, 8432, 10522, 11097, 12345, 13100, 13518, 13736, 13891, 14357, 14360, 14904, 15412, 15533, 15613, 15927, 16024, 17310, 17484, 17539, 17916, 18098, 18818, 19212, 20585, 20618, 21024, 21254, 21319, 21560, 23240, 23714, 23811, 24077, 24696, 24719, 24883, 24885, 25429, 26019, 26163, 26856, 27347, 27916, 28175, 30335, 31434, 31599, 32220, 32429, 32963, 32989, 33020, 33279, 33338, 33838, 35386, 35597, 35930, 37363, 37510, 37626, 37814, 37986, 38377, 38395, 38506, 39331, 39830, 40277, 40515, 41204, 41297, 41557, 41591, 41929, 42772, 43077, 43455, 43656, 44456, 44477, 44680, 44785, 45262, 45610, 45907, 46374, 46375, 47204, 47359, 47380, 47403, 47832, 49700, 49914, 50146, 50406, 50727, 50852, 51007, 51125, 51129, 51714, 53278, 53812, 54236, 54292, 54395, 54586, 56401, 56922, 57082, 57233, 57237, 57434, 57545, 57724, 57731, 58384, 58433, 59004, 59087, 59446, 60105, 60379, 61261, 61445, 61756, 61883, 62386, 62521, 62528, 62846, 62920, 62938, 63652, 64138, 64856, 65131, 65559, 65776, 65908, 66117, 66295, 66386, 66387, 66759, 66974, 67437, 67537, 67605, 69248, 69481, 69646, 69822, 70082, 71218, 71231, 71442, 71861, 73393, 73907, 73912, 74421, 74719, 74855, 75738, 76768, 76811, 78409]"
13518,"[122, 843, 1097, 1151, 1426, 2647, 2723, 2893, 3024, 3314, 5043, 5091, 6514, 7966, 8013, 8432, 8820, 9793, 11044, 11097, 12202, 12206, 12515]","[84, 97, 133, 201, 2489, 3151, 3436, 7812, 8517, 10522, 12345, 13100, 13165, 13291, 13450, 13736, 13891, 14357, 14360, 14904, 15412, 15533, 15613, 15927, 16024, 17310, 17484, 17539, 17916, 18098, 18818, 19212, 20585, 20618, 21024, 21254, 21319, 21560, 23240, 23714, 23811, 24077, 24696, 24719, 24883, 24885, 25429, 26019, 26163, 26856, 27347, 27916, 28175, 30335, 31434, 31599, 32220, 32429, 32963, 32989, 33020, 33279, 33338, 33838, 35386, 35597, 35930, 37363, 37510, 37626, 37814, 37986, 38377, 38395, 38506, 39331, 39830, 40277, 40515, 41204, 41297, 41557, 41591, 41929, 42772, 43077, 43455, 43656, 44456, 44477, 44680, 44785, 45262, 45610, 45907, 46374, 46375, 47204, 47359, 47380, 47403, 47832, 49700, 49914, 50146, 50406, 50727, 50852, 51007, 51125, 51129, 51714, 53278, 53812, 54236, 54292, 54395, 54586, 56401, 56922, 57082, 57233, 57237, 57434, 57545, 57724, 57731, 58384, 58433, 59004, 59087, 59446, 60105, 60379, 61261, 61445, 61756, 61883, 62386, 62521, 62528, 62846, 62920, 62938, 63652, 64138, 64856, 65131, 65559, 65776, 65908, 66117, 66295, 66386, 66387, 66759, 66974, 67437, 67537, 67605, 69248, 69481, 69646, 69822, 70082, 71218, 71231, 71442, 71861, 73393, 73907, 73912, 74421, 74719, 74855, 75738, 76768, 76811, 78409]"
13736,"[843, 1151, 1426, 2489, 2893, 3314, 5091, 8013, 8820, 9793, 12202, 12206, 12515, 13165, 13518]","[84, 97, 122, 133, 201, 1097, 2647, 2723, 3024, 3151, 3436, 5043, 6514, 7812, 7966, 8432, 8517, 10522, 11044, 11097, 12345, 13100, 13291, 13450, 13891, 14357, 14360, 14904, 15412, 15533, 15613, 15927, 16024, 17310, 17484, 17539, 17916, 18098, 18818, 19212, 20585, 20618, 21024, 21254, 21319, 21560, 23240, 23714, 23811, 24077, 24696, 24719, 24883, 24885, 25429, 26019, 26163, 26856, 27347, 27916, 28175, 30335, 31434, 31599, 32220, 32429, 32963, 32989, 33020, 33279, 33338, 33838, 35386, 35597, 35930, 37363, 37510, 37626, 37814, 37986, 38377, 38395, 38506, 39331, 39830, 40277, 40515, 41204, 41297, 41557, 41591, 41929, 42772, 43077, 43455, 43656, 44456, 44477, 44680, 44785, 45262, 45610, 45907, 46374, 46375, 47204, 47359, 47380, 47403, 47832, 49700, 49914, 50146, 50406, 50727, 50852, 51007, 51125, 51129, 51714, 53278, 53812, 54236, 54292, 54395, 54586, 56401, 56922, 57082, 57233, 57237, 57434, 57545, 57724, 57731, 58384, 58433, 59004, 59087, 59446, 60105, 60379, 61261, 61445, 61756, 61883, 62386, 62521, 62528, 62846, 62920, 62938, 63652, 64138, 64856, 65131, 65559, 65776, 65908, 66117, 66295, 66386, 66387, 66759, 66974, 67437, 67537, 67605, 69248, 69481, 69646, 69822, 70082, 71218, 71231, 71442, 71861, 73393, 73907, 73912, 74421, 74719, 74855, 75738, 76768, 76811, 78409]"
13891,"[133, 201, 1426, 5043, 6514, 8013, 9793, 10522]","[84, 97, 122, 843, 1097, 1151, 2489, 2647, 2723, 2893, 3024, 3151, 3314, 3436, 5091, 7812, 7966, 8432, 8517, 8820, 11044, 11097, 12202, 12206, 12345, 12515, 13100, 13165, 13291, 13450, 13518, 13736, 14357, 14360, 14904, 15412, 15533, 15613, 15927, 16024, 17310, 17484, 17539, 17916, 18098, 18818, 19212, 20585, 20618, 21024, 21254, 21319, 21560, 23240, 23714, 23811, 24077, 24696, 24719, 24883, 24885, 25429, 26019, 26163, 26856, 27347, 27916, 28175, 30335, 31434, 31599, 32220, 32429, 32963, 32989, 33020, 33279, 33338, 33838, 35386, 35597, 35930, 37363, 37510, 37626, 37814, 37986, 38377, 38395, 38506, 39331, 39830, 40277, 40515, 41204, 41297, 41557, 41591, 41929, 42772, 43077, 43455, 43656, 44456, 44477, 44680, 44785, 45262, 45610, 45907, 46374, 46375, 47204, 47359, 47380, 47403, 47832, 49700, 49914, 50146, 50406, 50727, 50852, 51007, 51125, 51129, 51714, 53278, 53812, 54236, 54292, 54395, 54586, 56401, 56922, 57082, 57233, 57237, 57434, 57545, 57724, 57731, 58384, 58433, 59004, 59087, 59446, 60105, 60379, 61261, 61445, 61756, 61883, 62386, 62521, 62528, 62846, 62920, 62938, 63652, 64138, 64856, 65131, 65559, 65776, 65908, 66117, 66295, 66386, 66387, 66759, 66974, 67437, 67537, 67605, 69248, 69481, 69646, 69822, 70082, 71218, 71231, 71442, 71861, 73393, 73907, 73912, 74421, 74719, 74855, 75738, 76768, 76811, 78409]"
14357,"[3024, 5091, 6514, 8013, 8820, 9793, 12202, 12515, 13165]","[84, 97, 122, 133, 201, 843, 1097, 1151, 1426, 2489, 2647, 2723, 2893, 3151, 3314, 3436, 5043, 7812, 7966, 8432, 8517, 10522, 11044, 11097, 12206, 12345, 13100, 13291, 13450, 13518, 13736, 13891, 14360, 14904, 15412, 15533, 15613, 15927, 16024, 17310, 17484, 17539, 17916, 18098, 18818, 19212, 20585, 20618, 21024, 21254, 21319, 21560, 23240, 23714, 23811, 24077, 24696, 24719, 24883, 24885, 25429, 26019, 26163, 26856, 27347, 27916, 28175, 30335, 31434, 31599, 32220, 32429, 32963, 32989, 33020, 33279, 33338, 33838, 35386, 35597, 35930, 37363, 37510, 37626, 37814, 37986, 38377, 38395, 38506, 39331, 39830, 40277, 40515, 41204, 41297, 41557, 41591, 41929, 42772, 43077, 43455, 43656, 44456, 44477, 44680, 44785, 45262, 45610, 45907, 46374, 46375, 47204, 47359, 47380, 47403, 47832, 49700, 49914, 50146, 50406, 50727, 50852, 51007, 51125, 51129, 51714, 53278, 53812, 54236, 54292, 54395, 54586, 56401, 56922, 57082, 57233, 57237, 57434, 57545, 57724, 57731, 58384, 58433, 59004, 59087, 59446, 60105, 60379, 61261, 61445, 61756, 61883, 62386, 62521, 62528, 62846, 62920, 62938, 63652, 64138, 64856, 65131, 65559, 65776, 65908, 66117, 66295, 66386, 66387, 66759, 66974, 67437, 67537, 67605, 69248, 69481, 69646, 69822, 70082, 71218, 71231, 71442, 71861, 73393, 73907, 73912, 74421, 74719, 74855, 75738, 76768, 76811, 78409]"
14360,"[843, 1151, 1426, 2893, 5091, 7812, 8013, 8432, 8820, 11044, 12206, 12515, 13518, 13736]","[84, 97, 122, 133, 201, 1097, 2489, 2647, 2723, 3024, 3151, 3314, 3436, 5043, 6514, 7966, 8517, 9793, 10522, 11097, 12202, 12345, 13100, 13165, 13291, 13450, 13891, 14357, 14904, 15412, 15533, 15613, 15927, 16024, 17310, 17484, 17539, 17916, 18098, 18818, 19212, 20585, 20618, 21024, 21254, 21319, 21560, 23240, 23714, 23811, 24077, 24696, 24719, 24883, 24885, 25429, 26019, 26163, 26856, 27347, 27916, 28175, 30335, 31434, 31599, 32220, 32429, 32963, 32989, 33020, 33279, 33338, 33838, 35386, 35597, 35930, 37363, 37510, 37626, 37814, 37986, 38377, 38395, 38506, 39331, 39830, 40277, 40515, 41204, 41297, 41557, 41591, 41929, 42772, 43077, 43455, 43656, 44456, 44477, 44680, 44785, 45262, 45610, 45907, 46374, 46375, 47204, 47359, 47380, 47403, 47832, 49700, 49914, 50146, 50406, 50727, 50852, 51007, 51125, 51129, 51714, 53278, 53812, 54236, 54292, 54395, 54586, 56401, 56922, 57082, 57233, 57237, 57434, 57545, 57724, 57731, 58384, 58433, 59004, 59087, 59446, 60105, 60379, 61261, 61445, 61756, 61883, 62386, 62521, 62528, 62846, 62920, 62938, 63652, 64138, 64856, 65131, 65559, 65776, 65908, 66117, 66295, 66386, 66387, 66759, 66974, 67437, 67537, 67605, 69248, 69481, 69646, 69822, 70082, 71218, 71231, 71442, 71861, 73393, 73907, 73912, 74421, 74719, 74855, 75738, 76768, 76811, 78409]"
14904,"[1151, 1426, 2489, 2893, 7812, 8013, 8432, 8820, 9793, 11044, 12202, 12206, 12345, 12515, 13291, 13518, 13736, 14360]","[84, 97, 122, 133, 201, 843, 1097, 2647, 2723, 3024, 3151, 3314, 3436, 5043, 5091, 6514, 7966, 8517, 10522, 11097, 13100, 13165, 13450, 13891, 14357, 15412, 15533, 15613, 15927, 16024, 17310, 17484, 17539, 17916, 18098, 18818, 19212, 20585, 20618, 21024, 21254, 21319, 21560, 23240, 23714, 23811, 24077, 24696, 24719, 24883, 24885, 25429, 26019, 26163, 26856, 27347, 27916, 28175, 30335, 31434, 31599, 32220, 32429, 32963, 32989, 33020, 33279, 33338, 33838, 35386, 35597, 35930, 37363, 37510, 37626, 37814, 37986, 38377, 38395, 38506, 39331, 39830, 40277, 40515, 41204, 41297, 41557, 41591, 41929, 42772, 43077, 43455, 43656, 44456, 44477, 44680, 44785, 45262, 45610, 45907, 46374, 46375, 47204, 47359, 47380, 47403, 47832, 49700, 49914, 50146, 50406, 50727, 50852, 51007, 51125, 51129, 51714, 53278, 53812, 54236, 54292, 54395, 54586, 56401, 56922, 57082, 57233, 57237, 57434, 57545, 57724, 57731, 58384, 58433, 59004, 59087, 59446, 60105, 60379, 61261, 61445, 61756, 61883, 62386, 62521, 62528, 62846, 62920, 62938, 63652, 64138, 64856, 65131, 65559, 65776, 65908, 66117, 66295, 66386, 66387, 66759, 66974, 67437, 67537, 67605, 69248, 69481, 69646, 69822, 70082, 71218, 71231, 71442, 71861, 73393, 73907, 73912, 74421, 74719, 74855, 75738, 76768, 76811, 78409]"
15412,"[201, 843, 1097, 1151, 1426, 2489, 2647, 2723, 2893, 3024, 3314, 5043, 5091, 7812, 8013, 8432, 8820, 9793, 10522, 11044, 12202, 12206, 12345, 12515, 13165, 13450, 13518, 13736, 14360, 14904]","[84, 97, 122, 133, 3151, 3436, 6514, 7966, 8517, 11097, 13100, 13291, 13891, 14357, 15533, 15613, 15927, 16024, 17310, 17484, 17539, 17916, 18098, 18818, 19212, 20585, 20618, 21024, 21254, 21319, 21560, 23240, 23714, 23811, 24077, 24696, 24719, 24883, 24885, 25429, 26019, 26163, 26856, 27347, 27916, 28175, 30335, 31434, 31599, 32220, 32429, 32963, 32989, 33020, 33279, 33338, 33838, 35386, 35597, 35930, 37363, 37510, 37626, 37814, 37986, 38377, 38395, 38506, 39331, 39830, 40277, 40515, 41204, 41297, 41557, 41591, 41929, 42772, 43077, 43455, 43656, 44456, 44477, 44680, 44785, 45262, 45610, 45907, 46374, 46375, 47204, 47359, 47380, 47403, 47832, 49700, 49914, 50146, 50406, 50727, 50852, 51007, 51125, 51129, 51714, 53278, 53812, 54236, 54292, 54395, 54586, 56401, 56922, 57082, 57233, 57237, 57434, 57545, 57724, 57731, 58384, 58433, 59004, 59087, 59446, 60105, 60379, 61261, 61445, 61756, 61883, 62386, 62521, 62528, 62846, 62920, 62938, 63652, 64138, 64856, 65131, 65559, 65776, 65908, 66117, 66295, 66386, 66387, 66759, 66974, 67437, 67537, 67605, 69248, 69481, 69646, 69822, 70082, 71218, 71231, 71442, 71861, 73393, 73907, 73912, 74421, 74719, 74855, 75738, 76768, 76811, 78409]"
15533,"[122, 133, 843, 1097, 1151, 1426, 2647, 8013, 8432, 8820, 12206, 12515, 13518, 13736, 14360, 14904, 15412]","[84, 97, 201, 2489, 2723, 2893, 3024, 3151, 3314, 3436, 5043, 5091, 6514, 7812, 7966, 8517, 9793, 10522, 11044, 11097, 12202, 12345, 13100, 13165, 13291, 13450, 13891, 14357, 15613, 15927, 16024, 17310, 17484, 17539, 17916, 18098, 18818, 19212, 20585, 20618, 21024, 21254, 21319, 21560, 23240, 23714, 23811, 24077, 24696, 24719, 24883, 24885, 25429, 26019, 26163, 26856, 27347, 27916, 28175, 30335, 31434, 31599, 32220, 32429, 32963, 32989, 33020, 33279, 33338, 33838, 35386, 35597, 35930, 37363, 37510, 37626, 37814, 37986, 38377, 38395, 38506, 39331, 39830, 40277, 40515, 41204, 41297, 41557, 41591, 41929, 42772, 43077, 43455, 43656, 44456, 44477, 44680, 44785, 45262, 45610, 45907, 46374, 46375, 47204, 47359, 47380, 47403, 47832, 49700, 49914, 50146, 50406, 50727, 50852, 51007, 51125, 51129, 51714, 53278, 53812, 54236, 54292, 54395, 54586, 56401, 56922, 57082, 57233, 57237, 57434, 57545, 57724, 57731, 58384, 58433, 59004, 59087, 59446, 60105, 60379, 61261, 61445, 61756, 61883, 62386, 62521, 62528, 62846, 62920, 62938, 63652, 64138, 64856, 65131, 65559, 65776, 65908, 66117, 66295, 66386, 66387, 66759, 66974, 67437, 67537, 67605, 69248, 69481, 69646, 69822, 70082, 71218, 71231, 71442, 71861, 73393, 73907, 73912, 74421, 74719, 74855, 75738, 76768, 76811, 78409]"
15613,"[843, 1097, 2647, 2723, 3151, 3314, 3436, 5043, 5091, 6514, 7966, 8013, 9793, 11097, 12202, 13165, 13518]","[84, 97, 122, 133, 201, 1151, 1426, 2489, 2893, 3024, 7812, 8432, 8517, 8820, 10522, 11044, 12206, 12345, 12515, 13100, 13291, 13450, 13736, 13891, 14357, 14360, 14904, 15412, 15533, 15927, 16024, 17310, 17484, 17539, 17916, 18098, 18818, 19212, 20585, 20618, 21024, 21254, 21319, 21560, 23240, 23714, 23811, 24077, 24696, 24719, 24883, 24885, 25429, 26019, 26163, 26856, 27347, 27916, 28175, 30335, 31434, 31599, 32220, 32429, 32963, 32989, 33020, 33279, 33338, 33838, 35386, 35597, 35930, 37363, 37510, 37626, 37814, 37986, 38377, 38395, 38506, 39331, 39830, 40277, 40515, 41204, 41297, 41557, 41591, 41929, 42772, 43077, 43455, 43656, 44456, 44477, 44680, 44785, 45262, 45610, 45907, 46374, 46375, 47204, 47359, 47380, 47403, 47832, 49700, 49914, 50146, 50406, 50727, 50852, 51007, 51125, 51129, 51714, 53278, 53812, 54236, 54292, 54395, 54586, 56401, 56922, 57082, 57233, 57237, 57434, 57545, 57724, 57731, 58384, 58433, 59004, 59087, 59446, 60105, 60379, 61261, 61445, 61756, 61883, 62386, 62521, 62528, 62846, 62920, 62938, 63652, 64138, 64856, 65131, 65559, 65776, 65908, 66117, 66295, 66386, 66387, 66759, 66974, 67437, 67537, 67605, 69248, 69481, 69646, 69822, 70082, 71218, 71231, 71442, 71861, 73393, 73907, 73912, 74421, 74719, 74855, 75738, 76768, 76811, 78409]"
15927,"[5043, 5091, 10522, 12202, 13891, 14357]","[84, 97, 122, 133, 201, 843, 1097, 1151, 1426, 2489, 2647, 2723, 2893, 3024, 3151, 3314, 3436, 6514, 7812, 7966, 8013, 8432, 8517, 8820, 9793, 11044, 11097, 12206, 12345, 12515, 13100, 13165, 13291, 13450, 13518, 13736, 14360, 14904, 15412, 15533, 15613, 16024, 17310, 17484, 17539, 17916, 18098, 18818, 19212, 20585, 20618, 21024, 21254, 21319, 21560, 23240, 23714, 23811, 24077, 24696, 24719, 24883, 24885, 25429, 26019, 26163, 26856, 27347, 27916, 28175, 30335, 31434, 31599, 32220, 32429, 32963, 32989, 33020, 33279, 33338, 33838, 35386, 35597, 35930, 37363, 37510, 37626, 37814, 37986, 38377, 38395, 38506, 39331, 39830, 40277, 40515, 41204, 41297, 41557, 41591, 41929, 42772, 43077, 43455, 43656, 44456, 44477, 44680, 44785, 45262, 45610, 45907, 46374, 46375, 47204, 47359, 47380, 47403, 47832, 49700, 49914, 50146, 50406, 50727, 50852, 51007, 51125, 51129, 51714, 53278, 53812, 54236, 54292, 54395, 54586, 56401, 56922, 57082, 57233, 57237, 57434, 57545, 57724, 57731, 58384, 58433, 59004, 59087, 59446, 60105, 60379, 61261, 61445, 61756, 61883, 62386, 62521, 62528, 62846, 62920, 62938, 63652, 64138, 64856, 65131, 65559, 65776, 65908, 66117, 66295, 66386, 66387, 66759, 66974, 67437, 67537, 67605, 69248, 69481, 69646, 69822, 70082, 71218, 71231, 71442, 71861, 73393, 73907, 73912, 74421, 74719, 74855, 75738, 76768, 76811, 78409]"
16024,"[843, 1151, 3314, 7812, 13518, 15412]","[84, 97, 122, 133, 201, 1097, 1426, 2489, 2647, 2723, 2893, 3024, 3151, 3436, 5043, 5091, 6514, 7966, 8013, 8432, 8517, 8820, 9793, 10522, 11044, 11097, 12202, 12206, 12345, 12515, 13100, 13165, 13291, 13450, 13736, 13891, 14357, 14360, 14904, 15533, 15613, 15927, 17310, 17484, 17539, 17916, 18098, 18818, 19212, 20585, 20618, 21024, 21254, 21319, 21560, 23240, 23714, 23811, 24077, 24696, 24719, 24883, 24885, 25429, 26019, 26163, 26856, 27347, 27916, 28175, 30335, 31434, 31599, 32220, 32429, 32963, 32989, 33020, 33279, 33338, 33838, 35386, 35597, 35930, 37363, 37510, 37626, 37814, 37986, 38377, 38395, 38506, 39331, 39830, 40277, 40515, 41204, 41297, 41557, 41591, 41929, 42772, 43077, 43455, 43656, 44456, 44477, 44680, 44785, 45262, 45610, 45907, 46374, 46375, 47204, 47359, 47380, 47403, 47832, 49700, 49914, 50146, 50406, 50727, 50852, 51007, 51125, 51129, 51714, 53278, 53812, 54236, 54292, 54395, 54586, 56401, 56922, 57082, 57233, 57237, 57434, 57545, 57724, 57731, 58384, 58433, 59004, 59087, 59446, 60105, 60379, 61261, 61445, 61756, 61883, 62386, 62521, 62528, 62846, 62920, 62938, 63652, 64138, 64856, 65131, 65559, 65776, 65908, 66117, 66295, 66386, 66387, 66759, 66974, 67437, 67537, 67605, 69248, 69481, 69646, 69822, 70082, 71218, 71231, 71442, 71861, 73393, 73907, 73912, 74421, 74719, 74855, 75738, 76768, 76811, 78409]"
17310,"[133, 201, 1097, 1151, 1426, 2489, 2723, 2893, 3024, 3314, 5043, 5091, 6514, 7812, 8013, 8432, 8517, 8820, 9793, 10522, 11044, 12202, 12206, 12515, 13165, 13291, 13450, 13518, 13736, 13891, 14360, 14904, 15412, 15533]","[84, 97, 122, 843, 2647, 3151, 3436, 7966, 11097, 12345, 13100, 14357, 15613, 15927, 16024, 17484, 17539, 17916, 18098, 18818, 19212, 20585, 20618, 21024, 21254, 21319, 21560, 23240, 23714, 23811, 24077, 24696, 24719, 24883, 24885, 25429, 26019, 26163, 26856, 27347, 27916, 28175, 30335, 31434, 31599, 32220, 32429, 32963, 32989, 33020, 33279, 33338, 33838, 35386, 35597, 35930, 37363, 37510, 37626, 37814, 37986, 38377, 38395, 38506, 39331, 39830, 40277, 40515, 41204, 41297, 41557, 41591, 41929, 42772, 43077, 43455, 43656, 44456, 44477, 44680, 44785, 45262, 45610, 45907, 46374, 46375, 47204, 47359, 47380, 47403, 47832, 49700, 49914, 50146, 50406, 50727, 50852, 51007, 51125, 51129, 51714, 53278, 53812, 54236, 54292, 54395, 54586, 56401, 56922, 57082, 57233, 57237, 57434, 57545, 57724, 57731, 58384, 58433, 59004, 59087, 59446, 60105, 60379, 61261, 61445, 61756, 61883, 62386, 62521, 62528, 62846, 62920, 62938, 63652, 64138, 64856, 65131, 65559, 65776, 65908, 66117, 66295, 66386, 66387, 66759, 66974, 67437, 67537, 67605, 69248, 69481, 69646, 69822, 70082, 71218, 71231, 71442, 71861, 73393, 73907, 73912, 74421, 74719, 74855, 75738, 76768, 76811, 78409]"
17484,"[843, 1151, 1426, 2893, 6514, 7812, 8013, 8432, 8820, 9793, 11044, 12206, 12515, 13518, 13736, 13891, 14360, 14904, 15412, 15533, 17310]","[84, 97, 122, 133, 201, 1097, 2489, 2647, 2723, 3024, 3151, 3314, 3436, 5043, 5091, 7966, 8517, 10522, 11097, 12202, 12345, 13100, 13165, 13291, 13450, 14357, 15613, 15927, 16024, 17539, 17916, 18098, 18818, 19212, 20585, 20618, 21024, 21254, 21319, 21560, 23240, 23714, 23811, 24077, 24696, 24719, 24883, 24885, 25429, 26019, 26163, 26856, 27347, 27916, 28175, 30335, 31434, 31599, 32220, 32429, 32963, 32989, 33020, 33279, 33338, 33838, 35386, 35597, 35930, 37363, 37510, 37626, 37814, 37986, 38377, 38395, 38506, 39331, 39830, 40277, 40515, 41204, 41297, 41557, 41591, 41929, 42772, 43077, 43455, 43656, 44456, 44477, 44680, 44785, 45262, 45610, 45907, 46374, 46375, 47204, 47359, 47380, 47403, 47832, 49700, 49914, 50146, 50406, 50727, 50852, 51007, 51125, 51129, 51714, 53278, 53812, 54236, 54292, 54395, 54586, 56401, 56922, 57082, 57233, 57237, 57434, 57545, 57724, 57731, 58384, 58433, 59004, 59087, 59446, 60105, 60379, 61261, 61445, 61756, 61883, 62386, 62521, 62528, 62846, 62920, 62938, 63652, 64138, 64856, 65131, 65559, 65776, 65908, 66117, 66295, 66386, 66387, 66759, 66974, 67437, 67537, 67605, 69248, 69481, 69646, 69822, 70082, 71218, 71231, 71442, 71861, 73393, 73907, 73912, 74421, 74719, 74855, 75738, 76768, 76811, 78409]"
17539,"[1151, 2893, 3024, 5091, 7812, 8013, 8432, 8820, 11044, 12202, 12206, 12515, 13450, 13518, 13736, 14360, 14904, 15412, 15533, 17310, 17484]","[84, 97, 122, 133, 201, 843, 1097, 1426, 2489, 2647, 2723, 3151, 3314, 3436, 5043, 6514, 7966, 8517, 9793, 10522, 11097, 12345, 13100, 13165, 13291, 13891, 14357, 15613, 15927, 16024, 17916, 18098, 18818, 19212, 20585, 20618, 21024, 21254, 21319, 21560, 23240, 23714, 23811, 24077, 24696, 24719, 24883, 24885, 25429, 26019, 26163, 26856, 27347, 27916, 28175, 30335, 31434, 31599, 32220, 32429, 32963, 32989, 33020, 33279, 33338, 33838, 35386, 35597, 35930, 37363, 37510, 37626, 37814, 37986, 38377, 38395, 38506, 39331, 39830, 40277, 40515, 41204, 41297, 41557, 41591, 41929, 42772, 43077, 43455, 43656, 44456, 44477, 44680, 44785, 45262, 45610, 45907, 46374, 46375, 47204, 47359, 47380, 47403, 47832, 49700, 49914, 50146, 50406, 50727, 50852, 51007, 51125, 51129, 51714, 53278, 53812, 54236, 54292, 54395, 54586, 56401, 56922, 57082, 57233, 57237, 57434, 57545, 57724, 57731, 58384, 58433, 59004, 59087, 59446, 60105, 60379, 61261, 61445, 61756, 61883, 62386, 62521, 62528, 62846, 62920, 62938, 63652, 64138, 64856, 65131, 65559, 65776, 65908, 66117, 66295, 66386, 66387, 66759, 66974, 67437, 67537, 67605, 69248, 69481, 69646, 69822, 70082, 71218, 71231, 71442, 71861, 73393, 73907, 73912, 74421, 74719, 74855, 75738, 76768, 76811, 78409]"
17916,"[7812, 8517, 13291, 13736, 15412, 17310]","[84, 97, 122, 133, 201, 843, 1097, 1151, 1426, 2489, 2647, 2723, 2893, 3024, 3151, 3314, 3436, 5043, 5091, 6514, 7966, 8013, 8432, 8820, 9793, 10522, 11044, 11097, 12202, 12206, 12345, 12515, 13100, 13165, 13450, 13518, 13891, 14357, 14360, 14904, 15533, 15613, 15927, 16024, 17484, 17539, 18098, 18818, 19212, 20585, 20618, 21024, 21254, 21319, 21560, 23240, 23714, 23811, 24077, 24696, 24719, 24883, 24885, 25429, 26019, 26163, 26856, 27347, 27916, 28175, 30335, 31434, 31599, 32220, 32429, 32963, 32989, 33020, 33279, 33338, 33838, 35386, 35597, 35930, 37363, 37510, 37626, 37814, 37986, 38377, 38395, 38506, 39331, 39830, 40277, 40515, 41204, 41297, 41557, 41591, 41929, 42772, 43077, 43455, 43656, 44456, 44477, 44680, 44785, 45262, 45610, 45907, 46374, 46375, 47204, 47359, 47380, 47403, 47832, 49700, 49914, 50146, 50406, 50727, 50852, 51007, 51125, 51129, 51714, 53278, 53812, 54236, 54292, 54395, 54586, 56401, 56922, 57082, 57233, 57237, 57434, 57545, 57724, 57731, 58384, 58433, 59004, 59087, 59446, 60105, 60379, 61261, 61445, 61756, 61883, 62386, 62521, 62528, 62846, 62920, 62938, 63652, 64138, 64856, 65131, 65559, 65776, 65908, 66117, 66295, 66386, 66387, 66759, 66974, 67437, 67537, 67605, 69248, 69481, 69646, 69822, 70082, 71218, 71231, 71442, 71861, 73393, 73907, 73912, 74421, 74719, 74855, 75738, 76768, 76811, 78409]"
18098,"[97, 133, 201, 1151, 2723, 2893, 3024, 3314, 8013, 9793, 12345, 13291, 13736, 15412, 17310]","[84, 122, 843, 1097, 1426, 2489, 2647, 3151, 3436, 5043, 5091, 6514, 7812, 7966, 8432, 8517, 8820, 10522, 11044, 11097, 12202, 12206, 12515, 13100, 13165, 13450, 13518, 13891, 14357, 14360, 14904, 15533, 15613, 15927, 16024, 17484, 17539, 17916, 18818, 19212, 20585, 20618, 21024, 21254, 21319, 21560, 23240, 23714, 23811, 24077, 24696, 24719, 24883, 24885, 25429, 26019, 26163, 26856, 27347, 27916, 28175, 30335, 31434, 31599, 32220, 32429, 32963, 32989, 33020, 33279, 33338, 33838, 35386, 35597, 35930, 37363, 37510, 37626, 37814, 37986, 38377, 38395, 38506, 39331, 39830, 40277, 40515, 41204, 41297, 41557, 41591, 41929, 42772, 43077, 43455, 43656, 44456, 44477, 44680, 44785, 45262, 45610, 45907, 46374, 46375, 47204, 47359, 47380, 47403, 47832, 49700, 49914, 50146, 50406, 50727, 50852, 51007, 51125, 51129, 51714, 53278, 53812, 54236, 54292, 54395, 54586, 56401, 56922, 57082, 57233, 57237, 57434, 57545, 57724, 57731, 58384, 58433, 59004, 59087, 59446, 60105, 60379, 61261, 61445, 61756, 61883, 62386, 62521, 62528, 62846, 62920, 62938, 63652, 64138, 64856, 65131, 65559, 65776, 65908, 66117, 66295, 66386, 66387, 66759, 66974, 67437, 67537, 67605, 69248, 69481, 69646, 69822, 70082, 71218, 71231, 71442, 71861, 73393, 73907, 73912, 74421, 74719, 74855, 75738, 76768, 76811, 78409]"
